"cluster" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "BOLD_bin" "updated_BIN_annotation" "updated_BIN_annotation_n_records" "updated_BIN_annotation_prop" "dyntaxa_match" "dyntaxa_name" "SE_occurrence"
"4707" "Tortricidae_cluster119" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Acleris" "Acleris_X" "BOLAAF7296" "Acleris abietana" 9 0.75 "Exact" "Acleris abietana" "Bofast och reproducerande"
"4785" "Pieridae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Pieridae" "Pieris" "Pieris_X" "BOLAAA2226" "Pieris napi" 347 0.462666666666667 "Exact" "Pieris napi" "Bofast och reproducerande"
"4812" "Tortricidae_cluster124" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Ancylis" "Ancylis_X" "BOLAAB3492" "Ancylis subarcuana" 10 1 "Exact" "Ancylis subarcuana" "Bofast och reproducerande"
"4886" "Elachistidae_cluster24" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Elachista" "Elachista_X" "BOLAAF0079" "Elachista serricornis" 5 0.384615384615385 "NeedsManualSelection" "Välj ett av 2 matchande taxa; Art: Elachista serricornis Stainton, 1854, mindre kärrgräsmal [214315]; Art: Elachista occidentalis Frey, 1882, torrängsgräsmal [214316]" ""
"5078" "Noctuidae_cluster75" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Noctuidae_X" "Noctuidae_XX" "BOLAAB8242" "Acronicta megacephala" 24 0.615384615384615 "Exact" "Acronicta megacephala" "Bofast och reproducerande"
"5216" "Lycaenidae_cluster7" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Lycaenidae" "Plebejus" "Plebejus_X" "BOLABX6143" "Polyommatus amandus" 93 0.958762886597938 "Exact" "Polyommatus amandus" "Bofast och reproducerande"
"5250" "Tortricidae_cluster129" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Aphelia" "Aphelia_X" "BOLACE6890" "" 0 0 "" "" ""
"5265" "Noctuidae_cluster78" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Conistra" "Conistra_X" "BOLAAB7880" "Conistra vaccinii" 83 0.43455497382199 "Exact" "Conistra vaccinii" "Bofast och reproducerande"
"5325" "Geometridae_cluster92" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Eupithecia" "Eupithecia_X" "BOLAAA8697" "Eupithecia albicapitata" 33 0.717391304347826 "NoMatch" "" ""
"5357" "Hesperiidae_cluster4" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Hesperiidae" "Pyrgus" "Pyrgus_X" "BOLAAB6141" "Pyrgus malvoides" 125 0.573394495412844 "NoMatch" "" ""
