Ursprunglig namnsträng;Matchningsstatus;Taxon-id;Vetenskapligt namn;Auktor;Vetenskapliga synonymer;Svensk förekomst
Leucoptera malifoliella;Exact;214230;Leucoptera malifoliella;(Costa, 1836);"Elachista malifoliella Costa, 1836; Leucoptera scitella (Zeller 1839); Opostega scitella Zeller, 1839; cirkelminerarmal";Bofast och reproducerande
Coleophora lutarea;Exact;214424;Coleophora lutarea;(Haworth, 1828);"buskstjärnblomkapselmal; Porrectaria lutarea Haworth, 1828; Metriotes lutarea (Haworth, 1828)";Bofast och reproducerande
Leucoptera malifoliella;Exact;214230;Leucoptera malifoliella;(Costa, 1836);"Elachista malifoliella Costa, 1836; Leucoptera scitella (Zeller 1839); Opostega scitella Zeller, 1839; cirkelminerarmal";Bofast och reproducerande
Phiaris dissolutana;Exact;215020;Phiaris dissolutana;(Stange, 1886);barrmossbrokvecklare;Bofast och reproducerande
Lampronia flavimitrella;Exact;213918;Lampronia flavimitrella;(Hübner, 1817);"Tinea flavimitrella Hübner, 1817; hallonsnårknoppmal";Bofast och reproducerande
Episcythrastis tetricella;Exact;215351;Episcythrastis tetricella;(Denis & Schiffermüller, 1775);Apomyelois tetricella (Denis & Schiffermüller, 1775);Bofast och reproducerande
Neocochylis dubitana;NoMatch;;;;;
Dahlica lichenella;Exact;213993;Dahlica lichenella;(Linnaeus, 1761);"Phalaena lichenella Linnaeus, 1761; Dahlica fumosella (Heinemann, 1870)";Bofast och reproducerande
Notocelia roborana;Exact;215132;Notocelia roborana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Incurvaria praelatella;Exact;213929;Incurvaria praelatella;(Denis & Schiffermüller, 1775);"Tinea praelatella Denis & Schiffermüller, 1775; smultronbredvingemal; smultronbredmal; Lampronia praelatella (Denis & Schiffermüller, 1775); Lampronia praeletella (Schiffermüller, 1776); smultronmal";Bofast och reproducerande
Ypsolopha asperella;Exact;214187;Ypsolopha asperella;(Linnaeus, 1761);Phalaena asperella Linnaeus, 1761;Bofast och reproducerande
Idaea deversaria;NeedsManualSelection;;"Välj ett av 2 matchande taxa; Art: Idaea deversaria (Herrich-Schäffer, 1847), halvenkel lövmätare [250436]; Art: Idaea deversaria (Herrich-Schäffer, 1847), skugglinjelövmätare [250447]";;;
Mesotype didymata;Exact;215786;Mesotype didymata;(Linnaeus, 1758);Perizoma didymata (Linnaeus, 1758);Bofast och reproducerande
Pseudohermenias abietana;Exact;215043;Pseudohermenias abietana;(Fabricius, 1787);;Bofast och reproducerande
Macaria brunneata;Exact;215555;Macaria brunneata;(Thunberg, 1784);"Itame brunneata (Thunberg, 1784); Geometra brunneata Thunberg, 1784";Bofast och reproducerande
Coenonympha arcania;Exact;201110;Coenonympha arcania;(Linnaeus, 1760);"Papilio arcania Linnaues, 1761; Coenonympha arcania (Linnaeus, 1761)";Bofast och reproducerande
